frame.number;frame.time;frame.len;frame.protocols;ip.proto;ip.src;tcp.srcport;udp.srcport;ip.dst;tcp.dstport;udp.dstport
72;May 20, 2017 17:08:32.684097000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61633;;172.217.25.194;443;
73;May 20, 2017 17:08:32.685732000 JST;583;eth:ethertype:ip:tcp:ssl;6;192.168.3.13;61633;;172.217.25.194;443;
74;May 20, 2017 17:08:32.703026000 JST;66;eth:ethertype:ip:tcp;6;172.217.25.194;443;;192.168.3.13;61633;
75;May 20, 2017 17:08:32.705679000 JST;1484;eth:ethertype:ip:tcp:ssl;6;172.217.25.194;443;;192.168.3.13;61633;
76;May 20, 2017 17:08:32.706098000 JST;1484;eth:ethertype:ip:tcp;6;172.217.25.194;443;;192.168.3.13;61633;
77;May 20, 2017 17:08:32.706176000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61633;;172.217.25.194;443;
78;May 20, 2017 17:08:32.706440000 JST;1033;eth:ethertype:ip:tcp:ssl:pkcs-1:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:pkcs-1:x509ce:x509ce:pkix1implicit:x509ce:x509ce:x509ce:x509ce:x509ce:pkcs-1:pkcs-1:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:pkcs-1:x509ce:x509ce:x509ce:pkix1implicit:x509ce:x509ce:x509ce:pkcs-1:pkcs-1:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:pkcs-1:x509ce:x509ce:x509ce:x509ce:x509ce:x509ce:pkix1explicit:pkcs-1:ssl;6;172.217.25.194;443;;192.168.3.13;61633;
79;May 20, 2017 17:08:32.706486000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61633;;172.217.25.194;443;
80;May 20, 2017 17:08:32.711425000 JST;141;eth:ethertype:ip:tcp:ssl;6;192.168.3.13;61633;;172.217.25.194;443;
81;May 20, 2017 17:08:32.711494000 JST;72;eth:ethertype:ip:tcp:ssl;6;192.168.3.13;61633;;172.217.25.194;443;
82;May 20, 2017 17:08:32.711509000 JST;111;eth:ethertype:ip:tcp:ssl;6;192.168.3.13;61633;;172.217.25.194;443;
83;May 20, 2017 17:08:32.727113000 JST;66;eth:ethertype:ip:tcp;6;172.217.25.194;443;;192.168.3.13;61633;
84;May 20, 2017 17:08:32.728307000 JST;117;eth:ethertype:ip:tcp:ssl;6;172.217.25.194;443;;192.168.3.13;61633;
85;May 20, 2017 17:08:32.728398000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61633;;172.217.25.194;443;
86;May 20, 2017 17:08:32.728998000 JST;122;eth:ethertype:ip:tcp:ssl;6;172.217.25.194;443;;192.168.3.13;61633;
87;May 20, 2017 17:08:32.729003000 JST;108;eth:ethertype:ip:tcp:ssl;6;172.217.25.194;443;;192.168.3.13;61633;
88;May 20, 2017 17:08:32.729071000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61633;;172.217.25.194;443;
89;May 20, 2017 17:08:32.729072000 JST;66;eth:ethertype:ip:tcp;6;192.168.3.13;61633;;172.217.25.194;443;
90;May 20, 2017 17:08:32.730471000 JST;119;eth:ethertype:ip:tcp:ssl;6;192.168.3.13;61633;;172.217.25.194;443;
91;May 20, 2017 17:08:32.730514000 JST;116;eth:ethertype:ip:tcp:ssl;6;192.168.3.13;61633;;172.217.25.194;443;
92;May 20, 2017 17:08:32.730583000 JST;108;eth:ethertype:ip:tcp:ssl;6;192.168.3.13;61633;;172.217.25.194;443;
93;May 20, 2017 17:08:32.730634000 JST;983;eth:ethertype:ip:tcp:ssl;6;192.168.3.13;61633;;172.217.25.194;443;
94;May 20, 2017 17:08:32.730733000 JST;104;eth:ethertype:ip:tcp:ssl;6;192.168.3.13;61633;;172.217.25.194;443;
95;May 20, 2017 17:08:32.758671000 JST;108;eth:ethertype:ip:tcp:ssl;6;172.217.25.194;443;;192.168.3.13;61633;
96;May 20, 2017 17:08:32.758746000 JST;78;eth:ethertype:ip:tcp;6;192.168.3.13;61633;;172.217.25.194;443;
97;May 20, 2017 17:08:32.776139000 JST;66;eth:ethertype:ip:tcp;6;172.217.25.194;443;;192.168.3.13;61633;
